date,flavour,production
2025-04-01,Acai,71
2025-04-01,Pitaya,34
2025-04-01,Mango,91
2025-04-01,Oceania,80
2025-04-02,Acai,40
2025-04-02,Pitaya,94
2025-04-02,Mango,94
2025-04-02,Oceania,43
2025-04-03,Acai,22
2025-04-03,Pitaya,41
2025-04-03,Mango,72
2025-04-03,Oceania,21
2025-04-04,Acai,49
2025-04-04,Pitaya,57
2025-04-04,Mango,21
2025-04-04,Oceania,83
2025-04-05,Acai,79
2025-04-05,Pitaya,40
2025-04-05,Mango,52
2025-04-05,Oceania,95
2025-04-06,Acai,77
2025-04-06,Pitaya,41
2025-04-06,Mango,68
2025-04-06,Oceania,78
2025-04-07,Acai,61
2025-04-07,Pitaya,79
2025-04-07,Mango,99
2025-04-07,Oceania,34
2025-04-08,Acai,81
2025-04-08,Pitaya,81
2025-04-08,Mango,66
2025-04-08,Oceania,81
2025-04-09,Acai,70
2025-04-09,Pitaya,74
2025-04-09,Mango,83
2025-04-09,Oceania,22
2025-04-10,Acai,70
2025-04-10,Pitaya,26
2025-04-10,Mango,40
2025-04-10,Oceania,92
2025-04-11,Acai,58
2025-04-11,Pitaya,37
2025-04-11,Mango,23
2025-04-11,Oceania,79
2025-04-12,Acai,33
2025-04-12,Pitaya,28
2025-04-12,Mango,72
2025-04-12,Oceania,21
2025-04-13,Acai,79
2025-04-13,Pitaya,90
2025-04-13,Mango,63
2025-04-13,Oceania,27
2025-04-14,Acai,66
2025-04-14,Pitaya,54
2025-04-14,Mango,97
2025-04-14,Oceania,55
2025-04-15,Acai,69
2025-04-15,Pitaya,23
2025-04-15,Mango,21
2025-04-15,Oceania,25
2025-04-16,Acai,73
2025-04-16,Pitaya,23
2025-04-16,Mango,73
2025-04-16,Oceania,82
2025-04-17,Acai,37
2025-04-17,Pitaya,63
2025-04-17,Mango,53
2025-04-17,Oceania,93
2025-04-18,Acai,81
2025-04-18,Pitaya,33
2025-04-18,Mango,67
2025-04-18,Oceania,34
2025-04-19,Acai,91
2025-04-19,Pitaya,97
2025-04-19,Mango,81
2025-04-19,Oceania,59
2025-04-20,Acai,99
2025-04-20,Pitaya,72
2025-04-20,Mango,43
2025-04-20,Oceania,45
2025-04-21,Acai,79
2025-04-21,Pitaya,60
2025-04-21,Mango,48
2025-04-21,Oceania,34
2025-04-22,Acai,64
2025-04-22,Pitaya,84
2025-04-22,Mango,90
2025-04-22,Oceania,28
2025-04-23,Acai,20
2025-04-23,Pitaya,27
2025-04-23,Mango,82
2025-04-23,Oceania,30
2025-04-24,Acai,27
2025-04-24,Pitaya,54
2025-04-24,Mango,54
2025-04-24,Oceania,52
2025-04-25,Acai,24
2025-04-25,Pitaya,60
2025-04-25,Mango,47
2025-04-25,Oceania,26
2025-04-26,Acai,92
2025-04-26,Pitaya,91
2025-04-26,Mango,31
2025-04-26,Oceania,53
2025-04-27,Acai,52
2025-04-27,Pitaya,67
2025-04-27,Mango,42
2025-04-27,Oceania,81
2025-04-28,Acai,56
2025-04-28,Pitaya,63
2025-04-28,Mango,54
2025-04-28,Oceania,84
2025-04-29,Acai,66
2025-04-29,Pitaya,97
2025-04-29,Mango,22
2025-04-29,Oceania,20
2025-04-30,Acai,24
2025-04-30,Pitaya,33
2025-04-30,Mango,46
2025-04-30,Oceania,28
date,acai,pitaya,mango,oceania
2025-04-27,50,40,60,80
date,acai,pitaya,mango,oceania
2025-04-29,20,0,0,0
date,acai,pitaya,mango,oceania
2025-04-29,200,0,0,0
date,acai,pitaya,mango,oceania
2025-04-01,10,5,12,8
date,acai,pitaya,mango,oceania
2025-04-01,10,5,12,8
date,flavour,production
2025-04-29,,
date,flavour,production
2025-04-01,Acai,71
date,flavour,production
2025-04-29,Acai,9
date,flavour,production
2025-04-01,Acai,100
date,flavour,production
2025-04-29,Acai,7
date,flavour,production
2025-04-29,Acai,14
date,flavour,production
2025-04-30,Acai,40
date,flavour,production
2025-04-30,Acai,1
date,flavour,production
2025-04-30,Acai,7
date,flavour,production
2025-04-30,Pitaya,7
date,flavour,production
2025-04-30,Acai,9
date,flavour,production
2025-04-30,Acai,7
date,flavour,production
2025-04-30,Acai,100
date,flavour,production
2025-04-30,Acai,11
date,flavour,production
2025-04-30,Pitaya,100
date,flavour,production
2025-04-30,Acai,200
date,flavour,production
2025-04-30,Acai,16
